# Diamond BLASTp output format 6
# Full documentation at:
# https://github.com/bbuchfink/diamond/wiki/3.-Command-line-options
# -----------------------------------------------------------------
field	description	Rtype
qseqid	Query Seq - id	c
qlen	Query sequence length	i
sseqid	Subject Seq - id	c
slen	Subject sequence length	i
qstart	Start of alignment in query	i
qend	End of alignment in query	i
sstart	Start of alignment in subject	i
send	End of alignment in subject	i
qseq	Aligned part of query sequence	c
sseq	Aligned part of subject sequence	c
full	sseq   Full subject sequence	c
evalue	Expect value	d
bitscore	Bit score	i
score	Raw score	i
length	Alignment length	i
pident	Percentage of identical matches	d
nident	Number of identical matches	i
mismatch	Number of mismatches	i
positive	Number of positive - scoring matches	i
gapopen	Number of gap openings	i
gaps	Total number of gaps	i
ppos	Percentage of positive - scoring matches	d
qframe	Query frame	i
btop	Blast traceback operations(BTOP)	i
cigar	CIGAR string	c
stitle	Subject Title	c
qcovhsp	Query Coverage Per HSP	d
scovhsp	Subject Coverage Per HSP	d
